"","X","line","movie"
"11851",11851,"                   Marlborough has written. He is in","The Favourite"
"11852",11852,"                   position, the battle will begin any","The Favourite"
"11853",11853,"                   time.","The Favourite"
"11854",11854,"        Sarah takes and reads the letter quickly. A flicker of fear","The Favourite"
"11855",11855,"        on her face.","The Favourite"
"11856",11856,"","The Favourite"
"11857",11857,"                             GODOLPHIN (CONT’D)","The Favourite"
"11858",11858,"                   He will prevail.","The Favourite"
"11859",11859,"                                SARAH","The Favourite"
"11860",11860,"                   Of course.","The Favourite"
"11861",11861,"","The Favourite"
"11862",11862,"                             GODOLPHIN","The Favourite"
"11863",11863,"                   I imagine you will not sleep","The Favourite"
"11864",11864,"                   tonight. I can stay and sit with","The Favourite"
"11865",11865,"                   you? I could regale you with witty","The Favourite"
"11866",11866,"                   tales of my romantic exploits, and","The Favourite"
"11867",11867,"                   by exploits I mean humiliations,","The Favourite"
"11868",11868,"                   and some weeping.","The Favourite"
"11869",11869,"","The Favourite"
"11870",11870,"                             SARAH","The Favourite"
"11871",11871,"                   You are sweet Godolphin which may","The Favourite"
"11872",11872,"                   explain the humiliations. I am","The Favourite"
"11873",11873,"                   alright.","The Favourite"
"11874",11874,"        She shuts the door.","The Favourite"
"11875",11875,"","The Favourite"
"11876",11876,"        Alone. Is agitated by the news.","The Favourite"
"11877",11877,"","The Favourite"
"11878",11878,"        She goes, opens the panel in the wall, steps through.","The Favourite"
"11879",11879,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17 (PINK REVISIONS 23 MAR 17)   57.","The Favourite"
"11880",11880,"","The Favourite"
"11881",11881," 78     INT SECRET PASSAGEWAY            NIGHT                       78","The Favourite"
"11882",11882,"","The Favourite"
"11883",11883,"        Sarah walks quickly along the passageway. She reaches the","The Favourite"
"11884",11884,"        door of the Queen’s salon, takes her key and opens it.","The Favourite"
"11885",11885,"                             SARAH","The Favourite"
"11886",11886,"                   Mrs Morley?","The Favourite"
"11887",11887,"","The Favourite"
"11888",11888," 79     INT ANNE’S APARTMENTS        NIGHT                           79","The Favourite"
"11889",11889,"","The Favourite"
"11890",11890,"        There is no answer. Sarah gently opens the door to the room","The Favourite"
"11891",11891,"        and sees the two women asleep in the bed.","The Favourite"
"11892",11892,"","The Favourite"
"11893",11893," 80     INT SECRET PASSAGEWAY        NIGHT                           80","The Favourite"
"11894",11894,"","The Favourite"
"11895",11895,"        Sarah walks along the hallway, veers sideways, has to stop","The Favourite"
"11896",11896,"        herself, hold herself up by the wall.","The Favourite"
"11897",11897,"","The Favourite"
"11898",11898,"        She continues walking in a daze. Stops.","The Favourite"
"11899",11899,"        A small sob cracks from her chest.","The Favourite"
"11900",11900,"","The Favourite"
"11901",11901," 81     INT SARAH’S QUARTERS      DAY                                81","The Favourite"
"11902",11902,"","The Favourite"
"11903",11903,"        Abigail enters carrying a book, she walks happily into","The Favourite"
"11904",11904,"        Sarah’s quarters.","The Favourite"
"11905",11905,"","The Favourite"
"11906",11906,"                             ABIGAIL","The Favourite"
"11907",11907,"                   Good morning Lady Marlborough","The Favourite"
"11908",11908,"","The Favourite"
"11909",11909,"        Sarah is on a ladder examining some books on her bookshelf.","The Favourite"
"11910",11910,"","The Favourite"
"11911",11911,"        Sarah drops the heavy book she is holding. It grazes","The Favourite"
"11912",11912,"        Abigail’s shoulder. She is knocked to the floor, startled.","The Favourite"
"11913",11913,"                             SARAH","The Favourite"
"11914",11914,"                   Where is that book of poetry from","The Favourite"
"11915",11915,"                   the Dryden fellow?                                     *","The Favourite"
"11916",11916,"","The Favourite"
"11917",11917,"                               ABIGAIL","The Favourite"
"11918",11918,"                   I do not-","The Favourite"
"11919",11919,"        Sarah starts throwing books off the shelves. They rain down","The Favourite"
"11920",11920,"        on Abigail, striking her, one in the face.","The Favourite"
"11921",11921,"","The Favourite"
"11922",11922,"                             SARAH","The Favourite"
"11923",11923,"                   No! No! NO!","The Favourite"
"11924",11924,"","The Favourite"
"11925",11925,"        A thin line of blood trickles from Abigail’s nose. Sarah","The Favourite"
"11926",11926,"        drops from the ladder and lands next to her. Abigail pushes","The Favourite"
"11927",11927,"        herself backwards along the floor, away from Sarah.","The Favourite"
"11928",11928,"","The Favourite"
"11929",11929,"                             ABIGAIL","The Favourite"
"11930",11930,"                   I do not understand.","The Favourite"
"11931",11931,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17    58.","The Favourite"
"11932",11932,"","The Favourite"
"11933",11933,"","The Favourite"
"11934",11934,"                             SARAH","The Favourite"
"11935",11935,"                   Did you take it? My book!","The Favourite"
"11936",11936,"","The Favourite"
"11937",11937,"                             ABIGAIL","The Favourite"
"11938",11938,"                   No I-","The Favourite"
"11939",11939,"                             SARAH","The Favourite"
"11940",11940,"                   I think you are a pretty little","The Favourite"
"11941",11941,"                   liar that I have misjudged.","The Favourite"
"11942",11942,"","The Favourite"
"11943",11943,"        Abigail realises what it’s actually about.","The Favourite"
"11944",11944,"        Sarah grabs her by the face and squeezes it.","The Favourite"
"11945",11945,"","The Favourite"
"11946",11946,"                             ABIGAIL","The Favourite"
"11947",11947,"                   I did not mean for this to happen.","The Favourite"
"11948",11948,"                   The Queen, she is forceful and -","The Favourite"
"11949",11949,"","The Favourite"
"11950",11950,"                             SARAH","The Favourite"
"11951",11951,"                   You are dismissed from my service.","The Favourite"
"11952",11952,"                   Go back to Mrs Meg tell her to find","The Favourite"
"11953",11953,"                   you a position in the scullery. If","The Favourite"
"11954",11954,"                   she asks why, tell her ‘Because I","The Favourite"
"11955",11955,"                   am a disloyal little bitch’.","The Favourite"
"11956",11956,"","The Favourite"
"11957",11957,"        Shocked and upset, Abigail takes a moment to compose herself.","The Favourite"
"11958",11958,"        She curtsies.","The Favourite"
"11959",11959,"                             ABIGAIL","The Favourite"
"11960",11960,"                   As you wish your Ladyship. It has","The Favourite"
"11961",11961,"                   been my privilege and honour to -","The Favourite"
"11962",11962,"","The Favourite"
"11963",11963,"                             SARAH","The Favourite"
"11964",11964,"                   If you do not go, I will start","The Favourite"
"11965",11965,"                   kicking you and I will not stop.","The Favourite"
"11966",11966,"","The Favourite"
"11967",11967,"        Abigail nods, departs hurriedly.","The Favourite"
"11968",11968,"        We follow her into the hallway.","The Favourite"
"11969",11969,"","The Favourite"
"11970",11970," 82     INT HALLWAY / A&E DAY                                       82","The Favourite"
"11971",11971,"","The Favourite"
"11972",11972,"        Abigail stands there, unsure of what to do. She suddenly hits","The Favourite"
"11973",11973,"        herself hard in the face with the book she is holding. The","The Favourite"
"11974",11974,"        blood starts to run again from her nose. Then tears. She","The Favourite"
"11975",11975,"        checks her face in a mirror.","The Favourite"
"11976",11976,"","The Favourite"
"11977",11977," 83     INT ANNE’S APARTMENTS    DAY                                83","The Favourite"
"11978",11978,"","The Favourite"
"11979",11979,"        Anne is resting on a chaise lounge when she hears crying.","The Favourite"
"11980",11980,"        See gets up, walks with her crutch, opens the door and sees","The Favourite"
"11981",11981,"        the bloodied and tearful Abigail, standing there.","The Favourite"
"11982",11982,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17     59.","The Favourite"
"11983",11983,"","The Favourite"
"11984",11984," 84     INT PALACE COURTYARD / SF    DAY                          84","The Favourite"
"11985",11985,"","The Favourite"
"11986",11986,"        A carriage sits in the driveway. Anne is being carried in her","The Favourite"
"11987",11987,"        sedan chair down the steps of the palace. Sarah walks next to","The Favourite"
"11988",11988,"        her.","The Favourite"
"11989",11989,"                             SARAH","The Favourite"
"11990",11990,"                   You have become close to Abigail.","The Favourite"
"11991",11991,"","The Favourite"
"11992",11992,"                             ANNE","The Favourite"
"11993",11993,"                   She has been a dear. Yes.","The Favourite"
"11994",11994,"                             SARAH","The Favourite"
"11995",11995,"                   It is such a shame but I have","The Favourite"
"11996",11996,"                   dismissed her for theft. She is a","The Favourite"
"11997",11997,"                   liar and a thief.","The Favourite"
"11998",11998,"","The Favourite"
"11999",11999,"        Beat.","The Favourite"
"12000",12000,"                             SARAH (CONT’D)","The Favourite"
"12001",12001,"                   Your tongue seems","The Favourite"
"12002",12002,"                   uncharacteristically still.","The Favourite"
"12003",12003,"","The Favourite"
"12004",12004,"                             ANNE","The Favourite"
"12005",12005,"                   I heard you.","The Favourite"
"12006",12006,"","The Favourite"
"12007",12007,"        Abigail walks past Sarah and waits by the door of the Queen’s","The Favourite"
"12008",12008,"        carriage. Sarah stares at her, incredulous.","The Favourite"
"12009",12009,"","The Favourite"
"12010",12010,"                             ANNE (CONT’D)","The Favourite"
"12011",12011,"                   She is my servant, she is not","The Favourite"
"12012",12012,"                   dismissed. I have made her my Maid","The Favourite"
"12013",12013,"                   of the Bedchamber.","The Favourite"
"12014",12014,"","The Favourite"
"12015",12015,"                             SARAH","The Favourite"
"12016",12016,"                   Did you not hear what I said?","The Favourite"
"12017",12017,"                             ANNE","The Favourite"
"12018",12018,"                   You regard her as a liar and a","The Favourite"
"12019",12019,"                   thief.","The Favourite"
"12020",12020,"","The Favourite"
"12021",12021,"                             SARAH","The Favourite"
"12022",12022,"                   Yes!","The Favourite"
"12023",12023,"                             ANNE","The Favourite"
"12024",12024,"                   I do not. Obviously.","The Favourite"
"12025",12025,"","The Favourite"
"12026",12026,"        Sarah stares at Anne, pulls her close to her and whispers in","The Favourite"
"12027",12027,"        her ear.","The Favourite"
"12028",12028,"","The Favourite"
"12029",12029,"                             SARAH","The Favourite"
"12030",12030,"                   You will dismiss her.","The Favourite"
"12031",12031,"                             ANNE","The Favourite"
"12032",12032,"                       (whispers back)","The Favourite"
"12033",12033,"                   I will not. I like it when she puts","The Favourite"
"12034",12034,"                   her tongue inside me.","The Favourite"
"12035",12035,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17 (BLUE REVISIONS 14 MAR 17)   60.","The Favourite"
"12036",12036,"","The Favourite"
"12037",12037,"","The Favourite"
"12038",12038,"        Sarah stands motionless, shocked by Anne’s comment. Anne","The Favourite"
"12039",12039,"        climbs in the carriage assisted by Abigail. Abigail gives","The Favourite"
"12040",12040,"        Sarah the slightest hint of a smile. Gets in the carriage.","The Favourite"
"12041",12041,"","The Favourite"
"12042",12042,"                              ANNE (CONT’D)","The Favourite"
"12043",12043,"                   Go!","The Favourite"
"12044",12044,"","The Favourite"
"12045",12045,"        The carriage takes off, leaving Sarah standing there,","The Favourite"
"12046",12046,"        stunned.","The Favourite"
"12047",12047,"","The Favourite"
"12048",12048," 85     OMITTED                                                      85","The Favourite"
"12049",12049,"","The Favourite"
"12050",12050,"","The Favourite"
"12051",12051," 86     OMITTED                                                      86","The Favourite"
"12052",12052,"","The Favourite"
"12053",12053,"","The Favourite"
"12054",12054," 87     INT CARRIAGE DAY                                             87","The Favourite"
"12055",12055,"","The Favourite"
"12056",12056,"        Abigail reads to Anne in the curtained compartment. They sit","The Favourite"
"12057",12057,"        together in happy contentment.","The Favourite"
"12058",12058,"        There is a sudden noise of banging on the carriage. Startling","The Favourite"
"12059",12059,"        them.","The Favourite"
"12060",12060,"","The Favourite"
"12061",12061,"                             CROWD 1 O/S","The Favourite"
"12062",12062,"                   It’s that fucking bitch! My sons a","The Favourite"
"12063",12063,"                   cripple you cunt!","The Favourite"
"12064",12064,"                             CROWD 2 O/S","The Favourite"
"12065",12065,"                   Stop the carnage you stuck up","The Favourite"
"12066",12066,"                   whore!","The Favourite"
"12067",12067,"        A startled Anne looks at Abigail.","The Favourite"
"12068",12068,"","The Favourite"
"12069",12069,"                             ANNE","The Favourite"
"12070",12070,"                   Don’t they know who it is?","The Favourite"
"12071",12071,"","The Favourite"
"12072",12072,"                             CROWD 3 O/S","The Favourite"
"12073",12073,"                   Queen cunt!","The Favourite"
"12074",12074,"","The Favourite"
"12075",12075,"                             ABIGAIL","The Favourite"
"12076",12076,"                   I think they do.","The Favourite"
"12077",12077,"        Anne takes this in.","The Favourite"
"12078",12078,"","The Favourite"
"12079",12079,"                              ANNE","The Favourite"
"12080",12080,"                   Oh.","The Favourite"
"12081",12081,"","The Favourite"
"12082",12082,"                             CROWD 4 O/S","The Favourite"
"12083",12083,"                   Warmongering Slag!","The Favourite"
"12084",12084,"        She pulls back the curtain a little, a man with one eye","The Favourite"
"12085",12085,"        stares back at her. Screams at her. A dozen other people run","The Favourite"
"12086",12086,"        behind him chasing the carriage shouting. She shuts the","The Favourite"
"12087",12087,"        curtain fast. Is shaken. Abigail moves quickly beside her.","The Favourite"
"12088",12088,"        Holds her hand.","The Favourite"
"12089",12089,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17 (BLUE REVISIONS 14 MAR 17)   60A.","The Favourite"
"12090",12090,"","The Favourite"
"12091",12091,"","The Favourite"
"12092",12092,"                             ANNE","The Favourite"
"12093",12093,"                   What are they shouting?","The Favourite"
"12094",12094,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17   61.","The Favourite"
"12095",12095,"","The Favourite"
"12096",12096,"","The Favourite"
"12097",12097,"                             ABIGAIL","The Favourite"
"12098",12098,"                   Driver! Faster!","The Favourite"
"12099",12099,"                       (to Anne)","The Favourite"
"12100",12100,"                   Close your eyes. Sing a song with","The Favourite"
"12101",12101,"                   me. Will you be my Love? Do you","The Favourite"
"12102",12102,"                   know it? It is marvellous.","The Favourite"
"12103",12103,"","The Favourite"
"12104",12104,"        She cups a hand over one of Anne’s ears, and sings into the","The Favourite"
"12105",12105,"        other one distracting Anne from the noise outside.","The Favourite"
"12106",12106,"","The Favourite"
"12107",12107,"        Anne calms down a little bit, distracted, charmed, the noise","The Favourite"
"12108",12108,"        starts to recede as the carriage speeds up. Anne curls into","The Favourite"
"12109",12109,"        her.","The Favourite"
"12110",12110,"","The Favourite"
"12111",12111," 88     OMITTED                                                   88","The Favourite"
"12112",12112,"","The Favourite"
"12113",12113,"","The Favourite"
"12114",12114," 89     INT MUD BATHS   DAY                                       89","The Favourite"
"12115",12115,"","The Favourite"
"12116",12116,"        Anne is up to her neck in a large pool of bubbling mud.","The Favourite"
"12117",12117,"        Abigail sits on a stool next to her.","The Favourite"
"12118",12118,"","The Favourite"
"12119",12119,"                             ANNE","The Favourite"
"12120",12120,"                   It is so strange to be in this.","The Favourite"
"12121",12121,"","The Favourite"
"12122",12122,"                             ABIGAIL","The Favourite"
"12123",12123,"                   It is good for you. The doctor says","The Favourite"
"12124",12124,"                   it will leach the toxins.","The Favourite"
"12125",12125,"","The Favourite"
"12126",12126,"                             ANNE","The Favourite"
"12127",12127,"                   What if I go to sleep and slip","The Favourite"
"12128",12128,"                   under?","The Favourite"
"12129",12129,"","The Favourite"
"12130",12130,"                             ABIGAIL","The Favourite"
"12131",12131,"                   Just imagine it is hot chocolate.","The Favourite"
"12132",12132,"                             ANNE","The Favourite"
"12133",12133,"                   At least I would die happy.","The Favourite"
"12134",12134,"","The Favourite"
"12135",12135,"        A door opens. Sarah enters in a robe. She lets it fall to the","The Favourite"
"12136",12136,"        floor and enters the bath.","The Favourite"
"12137",12137,"","The Favourite"
"12138",12138,"                             SARAH","The Favourite"
"12139",12139,"                   After you left I thought, what a","The Favourite"
"12140",12140,"                   grand idea to take to the mud. To","The Favourite"
"12141",12141,"                   get whatever poisons one carries","The Favourite"
"12142",12142,"                   with one out.","The Favourite"
"12143",12143,"","The Favourite"
"12144",12144,"        She settles into the mud opposite Anne. Abigail and her eye","The Favourite"
"12145",12145,"        each other.","The Favourite"
"12146",12146,"","The Favourite"
"12147",12147,"                             SARAH (CONT’D)","The Favourite"
"12148",12148,"                   Abigail could you fetch me some","The Favourite"
"12149",12149,"                   refreshment?","The Favourite"
"12150",12150,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17         62.","The Favourite"
"12151",12151,"","The Favourite"
"12152",12152,"","The Favourite"
"12153",12153,"                             ABIGAIL","The Favourite"
"12154",12154,"                   I would like of course but I must","The Favourite"
"12155",12155,"                   be at the Queen’s side and behest","The Favourite"
"12156",12156,"                   at all times. It is my role.","The Favourite"
"12157",12157,"                             SARAH","The Favourite"
"12158",12158,"                   Such loyalty. How delightful it is","The Favourite"
"12159",12159,"                   when one tries to cultivate a new","The Favourite"
"12160",12160,"                   trait in one’s character.","The Favourite"
"12161",12161,"","The Favourite"
"12162",12162,"                             ANNE","The Favourite"
"12163",12163,"                   Do not scratch at her.","The Favourite"
"12164",12164,"","The Favourite"
"12165",12165,"        Beat. They sit there a moment. Sarah takes a finger of mud","The Favourite"
"12166",12166,"        and draws a moustache across her lip.","The Favourite"
"12167",12167,"","The Favourite"
"12168",12168,"                             SARAH","The Favourite"
"12169",12169,"                   Mr Freeman.","The Favourite"
"12170",12170,"        Anne laughs. Does the same with the mud.","The Favourite"
"12171",12171,"","The Favourite"
"12172",12172,"                                ANNE","The Favourite"
"12173",12173,"                   Mr Morley.","The Favourite"
"12174",12174,"","The Favourite"
"12175",12175,"                             SARAH","The Favourite"
"12176",12176,"                   How handsome you are.","The Favourite"
"12177",12177,"","The Favourite"
"12178",12178,"                             ANNE","The Favourite"
"12179",12179,"                   Oh Mr Freeman, you are handsome.","The Favourite"
"12180",12180,"","The Favourite"
"12181",12181,"                             SARAH","The Favourite"
"12182",12182,"                   Oh but I forgot my glasses.","The Favourite"
"12183",12183,"","The Favourite"
"12184",12184,"        She draws circles round her eyes. Anne laughs. Abigail tries","The Favourite"
"12185",12185,"        to smile, join in, but is unnerved by it.","The Favourite"
"12186",12186,"","The Favourite"
"12187",12187," 90     INT CARRIAGE   DAY                                           90","The Favourite"
"12188",12188,"","The Favourite"
"12189",12189,"        The three of them travel back together. Anne and Sarah on one","The Favourite"
"12190",12190,"        side. Abigail on the other. Anne sleeps. Sarah whispers very","The Favourite"
"12191",12191,"        quietly, almost to herself.","The Favourite"
"12192",12192,"","The Favourite"
"12193",12193,"                             SARAH","The Favourite"
"12194",12194,"                   You will be back in the street.","The Favourite"
"12195",12195,"","The Favourite"
"12196",12196,"        Abigail looks out the window.","The Favourite"
"12197",12197,"","The Favourite"
"12198",12198," 91     INT GOLDEN HALLWAY             NIGHT                         91","The Favourite"
"12199",12199,"","The Favourite"
"12200",12200,"        Sarah and Anne walk. Abigail follows, a step behind them.","The Favourite"
"12201",12201,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17     63.","The Favourite"
"12202",12202,"","The Favourite"
"12203",12203,"","The Favourite"
"12204",12204,"                             SARAH","The Favourite"
"12205",12205,"                   Remember when we were young and","The Favourite"
"12206",12206,"                   were not allowed out in the snow,","The Favourite"
"12207",12207,"                   and we opened all the windows in","The Favourite"
"12208",12208,"                   the ballroom and sat there as snow","The Favourite"
"12209",12209,"                   flurries just wafted in. And when","The Favourite"
"12210",12210,"                   your governess came in we were","The Favourite"
"12211",12211,"                   making a snowman and our hands were","The Favourite"
"12212",12212,"                   blue.","The Favourite"
"12213",12213,"","The Favourite"
"12214",12214,"        Anne laughs. Takes Sarah’s hand and presses it.","The Favourite"
"12215",12215,"                             ANNE","The Favourite"
"12216",12216,"                   Oh that was such fun.","The Favourite"
"12217",12217,"                             ABIGAIL","The Favourite"
"12218",12218,"                       (mumbling)","The Favourite"
"12219",12219,"                   Sounds marvellous.","The Favourite"
"12220",12220,"                             SARAH","The Favourite"
"12221",12221,"                   So many things we have done","The Favourite"
"12222",12222,"                   together.","The Favourite"
"12223",12223,"","The Favourite"
"12224",12224,"                             ABIGAIL","The Favourite"
"12225",12225,"                       (mumbling)","The Favourite"
"12226",12226,"                   I do love ancient history.","The Favourite"
"12227",12227,"","The Favourite"
"12228",12228,"                             ANNE","The Favourite"
"12229",12229,"                   Abigail, did you say something?","The Favourite"
"12230",12230,"","The Favourite"
"12231",12231,"                             ABIGAIL","The Favourite"
"12232",12232,"                   I was singing. I cannot get a tune","The Favourite"
"12233",12233,"                   out of my head.","The Favourite"
"12234",12234,"","The Favourite"
"12235",12235,"                             SARAH","The Favourite"
"12236",12236,"                   Well there is so much room for it.","The Favourite"
"12237",12237,"        Abigail laughs uproariously.","The Favourite"
"12238",12238,"","The Favourite"
"12239",12239,"                             ABIGAIL","The Favourite"
"12240",12240,"                   Lady Marlborough. You are such a","The Favourite"
"12241",12241,"                   wit.","The Favourite"
"12242",12242,"","The Favourite"
"12243",12243,"                             ANNE","The Favourite"
"12244",12244,"                   You are a dear Abigail.","The Favourite"
"12245",12245,"                   I shall retire for the evening.","The Favourite"
"12246",12246,"","The Favourite"
"12247",12247,"                             ABIGAIL","The Favourite"
"12248",12248,"                       (eagerly)","The Favourite"
"12249",12249,"                   Shall I prepare your bed Queen","The Favourite"
"12250",12250,"                   Anne?","The Favourite"
"12251",12251,"","The Favourite"
"12252",12252,"                             SARAH","The Favourite"
"12253",12253,"                   Or shall you and I adjourn to your","The Favourite"
"12254",12254,"                   apartments for sherry?","The Favourite"
"12255",12255,"","The Favourite"
"12256",12256,"        A beat. She eyes them both. The moment of choice.","The Favourite"
"12257",12257,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17   64.","The Favourite"
"12258",12258,"","The Favourite"
"12259",12259,"","The Favourite"
"12260",12260,"                             ANNE","The Favourite"
"12261",12261,"                   A sherry sounds just the ticket.","The Favourite"
"12262",12262,"","The Favourite"
"12263",12263,"        Abigail’s face falls.","The Favourite"
"12264",12264,"                             ANNE (CONT’D)","The Favourite"
"12265",12265,"                   Good night Abigail.","The Favourite"
"12266",12266,"","The Favourite"
"12267",12267,"                             SARAH","The Favourite"
"12268",12268,"                   Yes, good night dear Abigail.","The Favourite"
"12269",12269,"","The Favourite"
"12270",12270,"        Anne and Sarah walk off, hands clasped together. Leaving","The Favourite"
"12271",12271,"        Abigail.","The Favourite"
"12272",12272,"","The Favourite"
"12273",12273,"                             SARAH (CONT’D)","The Favourite"
"12274",12274,"                   You are enjoying all this aren’t","The Favourite"
"12275",12275,"                   you?","The Favourite"
"12276",12276,"","The Favourite"
"12277",12277,"                             ANNE","The Favourite"
"12278",12278,"                   To be beloved. Of course. To see","The Favourite"
"12279",12279,"                   you trying to win me. Why, what is","The Favourite"
"12280",12280,"                   not to love my dear?","The Favourite"
"12281",12281,"","The Favourite"
"12282",12282,"                             SARAH","The Favourite"
"12283",12283,"                   You will stop this ridiculous","The Favourite"
"12284",12284,"                   infatuation. You have made your","The Favourite"
"12285",12285,"                   point.","The Favourite"
"12286",12286,"                             ANNE","The Favourite"
"12287",12287,"                   Perhaps I was not making a point.","The Favourite"
"12288",12288,"        They look at each other. Anne kisses her suddenly.","The Favourite"
"12289",12289,"","The Favourite"
"12290",12290," 92     INT ABIGAIL’S BEDROOM    NIGHT                              92","The Favourite"
"12291",12291,"","The Favourite"
"12292",12292,"        Abigail sits in a chair, focused but ranting. Masham sits","The Favourite"
"12293",12293,"        next to her blithely smoking.","The Favourite"
"12294",12294,"","The Favourite"
"12295",12295,"                             ABIGAIL","The Favourite"
"12296",12296,"                   Perhaps because of my past, perhaps","The Favourite"
"12297",12297,"                   some malformation of my heart... I","The Favourite"
"12298",12298,"                   blame my father of course... cunt","The Favourite"
"12299",12299,"                   ..I must take control of my","The Favourite"
"12300",12300,"                   circumstance. I will need to act in","The Favourite"
"12301",12301,"                   a way that meets the edges of my","The Favourite"
"12302",12302,"                   morality. To trust is to risk, and","The Favourite"
"12303",12303,"                   when I end up living on the street","The Favourite"
"12304",12304,"                   selling my arsehole to syphilitic","The Favourite"
"12305",12305,"                   soldiers, steadfast morality will","The Favourite"
"12306",12306,"                   be a fucking nonsense that will","The Favourite"
"12307",12307,"                   mock me daily.","The Favourite"
"12308",12308,"                             MASHAM","The Favourite"
"12309",12309,"                   I’m not quite following.","The Favourite"
"12310",12310,"","The Favourite"
"12311",12311,"                             ABIGAIL","The Favourite"
"12312",12312,"                   Shhhhh.","The Favourite"
"12313",12313,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17          65.","The Favourite"
"12314",12314,"","The Favourite"
"12315",12315,"","The Favourite"
"12316",12316,"        He’s hurt.","The Favourite"
"12317",12317,"","The Favourite"
"12318",12318,"                               ABIGAIL (CONT’D)","The Favourite"
"12319",12319,"                     I apologise. But... do shhhh when","The Favourite"
"12320",12320,"                     I’m thinking.","The Favourite"
"12321",12321,"        He nods.","The Favourite"
"12322",12322,"","The Favourite"
"12323",12323," 93     INT ANNE’S APARTMENTS             DAY                        93","The Favourite"
"12324",12324,"","The Favourite"
"12325",12325,"        Morning. Abigail brushes Anne’s hair.","The Favourite"
"12326",12326,"","The Favourite"
"12327",12327,"                               ABIGAIL","The Favourite"
"12328",12328,"                     Your hair is so lustrous. It is","The Favourite"
"12329",12329,"                     something people in court comment","The Favourite"
"12330",12330,"                     on.","The Favourite"
"12331",12331,"","The Favourite"
"12332",12332,"                                ANNE","The Favourite"
"12333",12333,"                     Really. I always thought of it as","The Favourite"
"12334",12334,"                     nest like.","The Favourite"
"12335",12335,"        Sarah enters.","The Favourite"
"12336",12336,"","The Favourite"
"12337",12337,"                               ABIGAIL","The Favourite"
"12338",12338,"                         (to Anne)","The Favourite"
"12339",12339,"                     I shall make you tea.","The Favourite"
"12340",12340,"        Abigail goes to a side table where pots and cups are.","The Favourite"
"12341",12341,"","The Favourite"
"12342",12342,"                               SARAH","The Favourite"
"12343",12343,"                     What a lovely idea. Thank you","The Favourite"
"12344",12344,"                     Abigail.","The Favourite"
"12345",12345,"","The Favourite"
"12346",12346,"                                  ABIGAIL","The Favourite"
"12347",12347,"                     Of course.","The Favourite"
"12348",12348,"                               ANNE","The Favourite"
"12349",12349,"                         (to Sarah)","The Favourite"
"12350",12350,"                     Pat the kids hello.","The Favourite"
"12351",12351,"","The Favourite"
"12352",12352,"        Sarah eyes her, and the rabbits. It is a challenge and she","The Favourite"
"12353",12353,"        knows it. She smiles.","The Favourite"
"12354",12354,"                                  SARAH","The Favourite"
"12355",12355,"                     Of course.","The Favourite"
"12356",12356,"","The Favourite"
"12357",12357,"        She leans over the little temporary rabbit hutch and pats","The Favourite"
"12358",12358,"        them, grimacing. Anne smiles.","The Favourite"
"12359",12359,"","The Favourite"
"12360",12360,"        Abigail takes some Lily of the Valley flowers from her apron.","The Favourite"
"12361",12361,"        She pushes them into the pot adding hot water and tea making","The Favourite"
"12362",12362,"        sure that the two women don’t notice it.","The Favourite"
"12363",12363,"                               SARAH (CONT’D)","The Favourite"
"12364",12364,"                     You will give that speech on the","The Favourite"
"12365",12365,"                     tax increase in parliament next","The Favourite"
"12366",12366,"                     week.","The Favourite"
"12367",12367,"THE FAVOURITE SHOOTING SCRIPT 6 MAR 17 (BLUE REVISIONS 14 MAR 17)   66.","The Favourite"
"12368",12368,"","The Favourite"
"12369",12369,"","The Favourite"
"12370",12370,"                             ANNE","The Favourite"
"12371",12371,"                   I dreamed of the man on the","The Favourite"
"12372",12372,"                   roadside with one eye.","The Favourite"
"12373",12373,"","The Favourite"
"12374",12374,"                               SARAH","The Favourite"
"12375",12375,"                   What man?","The Favourite"
"12376",12376,"","The Favourite"
"12377",12377,"                             ANNE","The Favourite"
"12378",12378,"                   When we drove through town. He","The Favourite"
"12379",12379,"                   stared at me in such a way. I felt","The Favourite"
"12380",12380,"                   my blood chill.","The Favourite"
"12381",12381,"        Abigail takes a cup of tea over to Sarah.","The Favourite"
"12382",12382,"","The Favourite"
"12383",12383,"                               SARAH","The Favourite"
"12384",12384,"                   So kind.","The Favourite"
"12385",12385,"","The Favourite"
"12386",12386,"        Sarah drinks her tea. Takes a petit four, tosses it in the","The Favourite"
"12387",12387,"        air and catches it in her mouth.","The Favourite"
"12388",12388,"","The Favourite"
"12389",12389,"        Abigail smiles at Sarah, unnerving her.","The Favourite"
"12390",12390,"                             ANNE","The Favourite"
"12391",12391,"                   Abigail. Do you think people are","The Favourite"
"12392",12392,"                   angry?","The Favourite"
"12393",12393,"","The Favourite"
"12394",12394,"                             SARAH","The Favourite"
"12395",12395,"                   Anne! She does not know.","The Favourite"
